estacion,2019,2020,2021,2022,2023,2024,2025
4,364,265,266,278,365,334,363
8,349,364,352,361,363,334,346
16,0,0,0,263,365,335,360
18,364,365,365,356,363,331,364
24,358,363,348,362,360,333,358
35,359,358,365,361,298,334,364
36,365,366,365,353,365,333,362
38,349,366,363,365,361,334,362
39,0,0,0,365,362,332,361
54,365,365,365,362,364,335,363
56,361,363,365,365,365,335,361
58,365,365,363,330,364,327,359
59,348,366,365,363,363,335,363
102,365,366,365,230,365,335,364
103,362,366,365,218,364,317,358
104,78,0,0,0,0,0,0
106,359,327,359,129,315,332,356
107,362,293,360,225,353,331,335
108,365,356,233,208,365,334,364
109,363,352,344,218,273,325,302
110,354,304,342,113,353,298,336
111,347,171,161,133,306,291,330
112,358,349,364,112,360,323,324
113,365,359,345,214,338,327,326
114,365,366,133,235,358,301,325
115,337,366,301,238,357,298,333
