,temperatura,superficie_ha,kmeans_k4,jerarquico_k4
4,16.118406593406593,60.12146035,2,4
8,15.919770773638968,0.2406400183,3,3
18,16.846703296703296,29.14013404,3,3
24,15.549720670391062,60.12146035,2,4
36,15.755890410958903,10.24690414,3,3
54,16.216438356164385,63.49223204,2,4
56,16.41939058171745,29.14013404,3,3
58,14.63178082191781,91.77973589,1,1
59,14.79396551724138,22.243242509999998,0,3
102,13.095068493150684,10.24690414,0,2
103,13.711602209944752,40.64140133,0,2
106,13.16991643454039,60.12146035,1,2
107,13.832872928176796,80.50708046,1,1
108,13.761643835616438,91.77973589,1,1
112,17.592178770949722,68.74191454000001,2,4
113,17.34054794520548,68.74191454000001,2,4
