,temperatura,altitud,kmeans_k4,jerarquico_k4
8,16.564835164835166,672,1,2
18,16.90876712328767,625,0,4
24,15.391184573002755,645,1,2
35,16.90139664804469,660,1,2
36,15.834426229508196,671,1,2
38,16.356284153005465,699,1,2
54,16.244657534246574,628,0,4
56,16.558402203856748,605,0,4
58,14.78821917808219,611,3,3
59,15.339071038251367,660,1,2
102,13.099453551912568,686,2,1
103,13.642349726775958,595,3,3
106,11.77737003058104,586,3,3
108,13.707303370786518,659,2,1
109,17.943749999999998,681,1,2
110,15.597697368421052,645,1,2
112,17.773352435530086,607,0,4
113,17.33816155988858,607,0,4
114,18.2844262295082,571,0,4
115,17.11775956284153,571,0,4
