,temperatura,superficie_relativa,kmeans_k4,jerarquico_k4
8,16.564835164835166,0.0004450705021880642,3,4
18,16.90876712328767,0.02072846342482289,0,3
24,15.391184573002755,0.012904901614155105,0,3
36,15.834426229508196,0.016794557208060504,0,3
54,16.244657534246574,0.01219204816699018,0,3
56,16.558402203856748,0.02072846342482289,0,3
58,14.78821917808219,0.0038517771369626017,3,4
59,15.339071038251367,0.005331243939457843,3,4
102,13.099453551912568,0.016794557208060504,2,2
103,13.642349726775958,0.019817450722716196,2,2
106,11.77737003058104,0.012904901614155105,2,2
108,13.707303370786518,0.0038517771369626017,2,4
112,17.773352435530086,0.04593614167598619,1,1
113,17.33816155988858,0.04593614167598619,1,1
