estacion,temperatura,humedad_rel,kmeans_k5,jerarquico_k5
8,16.440625,56.83428571428571,0,5
24,14.890517241379309,60.42816091954023,4,2
35,16.595342465753426,54.49315068493151,0,5
36,15.479452054794521,59.64109589041096,4,2
38,15.997520661157026,55.69972451790633,0,5
54,15.884931506849314,56.55068493150685,0,5
56,16.261369863013698,56.36164383561644,0,5
58,14.190909090909091,63.63835616438356,2,3
59,14.925479452054795,59.6,4,2
102,12.894794520547947,55.153424657534245,1,1
103,13.267397260273974,56.30684931506849,1,1
106,12.389136490250696,63.56545961002786,2,3
107,13.221944444444443,56.484057971014494,1,1
109,17.39767441860465,48.723837209302324,3,4
110,16.773684210526316,54.41812865497076,0,5
112,17.055769230769233,54.0,0,5
113,17.38434782608696,47.59130434782609,3,4
115,16.285049833887044,55.02325581395349,0,5
