estacion,no2,kmeans_k5,jerarquico_k5
8,34.27945205479452,2,3
11,30.895890410958906,4,5
17,35.222527472527474,2,3
18,28.04931506849315,0,4
24,17.226519337016576,1,2
27,30.214876033057852,4,5
35,31.300275482093664,4,5
36,28.773371104815865,0,5
38,29.687671232876713,4,5
39,28.002762430939228,0,4
40,30.65753424657534,4,5
47,28.875,0,5
48,27.115384615384617,0,4
49,22.366666666666667,3,1
50,32.60497237569061,4,5
54,29.12912087912088,0,5
55,31.366946778711483,4,5
56,39.81917808219178,2,3
57,25.50958904109589,0,4
58,14.43013698630137,1,2
59,21.123287671232877,3,1
60,26.06027397260274,0,4
