estacion,temperatura,superficie_ha,kmeans_k4,jerarquico_k4
4,16.783835616438356,59.85,0,4
8,17.223415977961434,0.24,1,1
16,16.94630136986301,14.57,1,1
18,17.228925619834712,26.29,1,1
24,15.84388888888889,59.85,0,4
36,16.306301369863014,10.25,1,1
39,16.939226519337016,96.64,0,4
54,16.823076923076925,94.29,0,4
56,17.06821917808219,26.29,1,1
58,15.041483516483517,96.64,2,3
59,15.938292011019286,17.33,1,1
102,13.517534246575341,10.25,3,2
103,13.989835164835165,43.1,3,2
106,13.41047619047619,59.85,3,2
107,14.221246458923513,53.51,3,2
108,14.505753424657534,96.64,2,3
112,17.596944444444443,78.62,0,4
113,18.203254437869823,78.62,0,4
114,17.364245810055866,3.22,1,1
115,18.833893557422968,3.22,1,1
