distrito,temperatura,superficie_ha
ARGANZUELA,18.458803986710965,3.22
BARAJAS,16.67283582089552,15.15
CARABANCHEL,18.064107408576454,26.33
CENTRO,18.313173652694612,0.0
CHAMBERI,18.44436020267158,0.0
CIUDAD LINEAL,17.818507462686565,14.57
FUENCARRAL-EL PARDO,16.323900428758193,100.41
HORTALEZA,14.636253776435046,47.58
MONCLOA-ARAVACA,16.19345016143768,59.88
MORATALAZ,15.609456770203039,10.25
PUENTE DE VALLECAS,18.268921900000947,78.74
SALAMANCA,18.057784431137726,0.24
VILLA DE VALLECAS,17.688358208955226,94.29
VILLAVERDE,14.957728706624607,43.1
