estacion,no2,pm25,pm10,kmeans_k4,jerarquico_k4
4,24.824175824175825,9.13353115727003,22.353982300884955,2,3
8,26.722991689750693,9.6045197740113,20.93502824858757,2,3
24,14.667597765363128,8.317415730337078,15.571428571428571,3,1
38,23.05263157894737,8.633802816901408,17.08732394366197,0,2
47,21.182825484764543,8.58659217877095,15.405027932960893,0,2
48,19.74585635359116,10.143283582089552,20.743283582089553,2,3
50,22.139275766016713,8.418079096045197,17.5225988700565,0,2
54,26.31955922865014,9.58659217877095,22.008522727272727,2,3
56,31.692957746478875,11.122857142857143,18.174285714285713,1,4
57,18.430939226519335,9.495774647887323,16.34929577464789,0,2
60,18.310249307479225,7.8448753462603875,15.90027700831025,3,1
