distrito,temperatura,superficie_ha
ARGANZUELA,19.674254425174325,3.22
BARAJAS,16.23939393939394,20.33
CARABANCHEL,17.00853740187779,24.31
CENTRO,16.57613193440051,0.0
CHAMARTIN,20.951127819548873,0.0
CHAMBERI,18.383616312680658,0.0
CIUDAD LINEAL,13.660456273764257,14.82
FUENCARRAL-EL PARDO,16.68962138508371,94.92
HORTALEZA,15.265333333333333,76.01
MONCLOA-ARAVACA,16.406693111398074,59.83
MORATALAZ,15.90899433427762,10.25
PUENTE DE VALLECAS,18.074678738317758,78.52
SALAMANCA,17.709695290858726,0.24
VILLA DE VALLECAS,17.089226519337018,94.29
VILLAVERDE,15.477064220183486,40.02
