,temperatura,superficie_ha,kmeans_k4,jerarquico_k4
4,19.989208633093526,59.83,0,1
8,17.709695290858726,0.24,1,2
16,13.660456273764257,14.82,3,4
18,16.948033707865168,24.31,1,4
24,16.261878453038676,59.83,2,4
36,16.76798866855524,10.25,1,4
39,17.311780821917807,94.92,2,3
54,17.089226519337018,94.29,2,3
56,17.06904109589041,24.31,1,4
58,16.013333333333332,94.92,2,3
59,16.23939393939394,20.33,1,4
102,15.05,10.25,3,4
103,15.477064220183486,40.02,3,4
106,12.968992248062015,59.83,3,4
107,15.265333333333333,76.01,2,3
108,16.74375,94.92,2,3
112,16.79375,78.52,2,3
113,19.355607476635516,78.52,0,1
114,20.381702127659572,3.22,1,2
115,18.96680672268908,3.22,1,2
