,temperatura,altitud,kmeans_k4,jerarquico_k4
4,17.714071856287426,637,1,4
8,18.057784431137726,672,1,3
16,17.818507462686565,695,1,3
18,18.11299093655589,625,2,4
24,16.795495495495494,645,1,3
35,18.313173652694612,660,1,3
36,17.01801801801802,671,1,3
38,17.662874251497005,699,1,3
39,17.72289156626506,675,1,3
54,17.688358208955226,628,2,4
56,18.015223880597016,605,2,4
58,15.957492354740062,611,3,2
59,16.67283582089552,660,1,3
102,14.20089552238806,686,0,1
103,14.957728706624607,595,3,2
106,14.07078313253012,586,3,2
107,14.636253776435046,706,0,1
108,15.291317365269462,659,0,1
109,19.225846153846152,681,1,3
110,17.803355704697985,645,1,4
111,18.633676975945015,703,1,3
112,17.968730650154797,607,2,4
113,18.569113149847094,607,2,4
114,18.458803986710965,571,2,4
115,18.83993288590604,571,2,4
