estacion,temperatura,superficie_ha,kmeans_k4,jerarquico_k4
4,17.714071856287426,59.88,0,4
8,18.057784431137726,0.24,1,1
16,17.818507462686565,14.57,1,1
18,18.11299093655589,26.33,1,1
24,16.795495495495494,59.88,0,4
36,17.01801801801802,10.25,1,1
39,17.72289156626506,100.41,0,4
54,17.688358208955226,94.29,0,4
56,18.015223880597016,26.33,1,1
58,15.957492354740062,100.41,2,3
59,16.67283582089552,15.15,1,1
102,14.20089552238806,10.25,3,2
103,14.957728706624607,43.1,3,2
106,14.07078313253012,59.88,3,2
107,14.636253776435046,47.58,3,2
108,15.291317365269462,100.41,2,3
112,17.968730650154797,78.74,0,4
113,18.569113149847094,78.74,0,4
114,18.458803986710965,3.22,1,1
115,18.83993288590604,3.22,1,1
