estacion,no2,kmeans_k5,jerarquico_k5
4,24.824175824175825,0,4
8,26.722991689750693,2,5
11,24.700831024930746,0,4
16,22.107142857142858,0,4
17,27.517906336088153,2,5
18,23.983471074380166,0,4
24,14.667597765363128,4,2
27,29.06611570247934,2,5
35,23.593922651933703,0,4
36,23.331491712707184,0,4
38,23.05263157894737,0,4
39,23.484764542936286,0,4
40,24.625,0,4
47,21.182825484764543,1,4
48,19.74585635359116,1,1
49,17.85,1,1
50,22.139275766016713,0,4
54,26.31955922865014,2,5
55,28.570247933884296,2,5
56,31.692957746478875,2,5
57,18.430939226519335,1,1
58,9.394366197183098,3,3
59,20.121883656509695,1,1
60,18.310249307479225,1,1
