,temperatura,superficie_relativa,kmeans_k4,jerarquico_k4
4,17.02644628099174,0.013450118681685943,3,4
8,17.621098265895952,0.0004450705021880642,0,3
16,17.21222222222222,0.009872499505108096,0,4
18,17.343131868131866,0.018742460232678112,3,4
24,16.114804469273743,0.013450118681685943,3,4
36,16.295303867403312,0.016794557208060504,3,4
39,16.97562326869806,0.004325628554204917,0,3
54,17.013774104683197,0.01834059064558877,3,4
56,17.290304709141274,0.018742460232678112,3,4
58,14.864066852367687,0.004325628554204917,2,2
59,15.881542699724518,0.0035933159466040054,0,4
102,13.263461538461538,0.016794557208060504,2,2
103,14.046648044692738,0.0213426318378078,2,2
106,13.229213483146069,0.013450118681685943,2,2
107,14.43044776119403,0.017159002130722155,2,2
108,14.117582417582419,0.004325628554204917,2,2
112,17.130555555555556,0.05260342925490332,1,1
113,18.042331288343558,0.05260342925490332,1,1
114,17.78276923076923,0.0049828417592269,0,3
115,17.06996996996997,0.0049828417592269,0,3
