cod-ca;ca;cod-prov;prov;ano;mes;form-soc;num-con;capt-suscr-con;capt-desem-con
16;País Vasco;01;Araba / Álava;2011;1;SA;1;100000;100000
08;Castilla-La Mancha;02;Albacete;2011;1;SA;0;0;0
10;Comunitat Valenciana;03;Alacant / Alicante;2011;1;SA;2;125010;80010
01;Andalucía;04;Almería;2011;1;SA;0;0;0
07;Castilla y León;05;Ávila;2011;1;SA;0;0;0
11;Extremadura;06;Badajoz;2011;1;SA;0;0;0
04;Illes Balears;07;Illes Balears;2011;1;SA;1;100000;100000
09;Cataluña;08;Barcelona;2011;1;SA;5;10162911;10117761
07;Castilla y León;09;Burgos;2011;1;SA;1;93400;93400
11;Extremadura;10;Cáceres;2011;1;SA;0;0;0
01;Andalucía;11;Cádiz;2011;1;SA;0;0;0
10;Comunitat Valenciana;12;Castelló / Castellón;2011;1;SA;0;0;0
08;Castilla-La Mancha;13;Ciudad Real;2011;1;SA;0;0;0
01;Andalucía;14;Córdoba;2011;1;SA;0;0;0
12;Galicia;15;Coruña, A;2011;1;SA;0;0;0
08;Castilla-La Mancha;16;Cuenca;2011;1;SA;0;0;0
09;Cataluña;17;Girona;2011;1;SA;1;60000;60000
01;Andalucía;18;Granada;2011;1;SA;1;60000;15000
08;Castilla-La Mancha;19;Guadalajara;2011;1;SA;0;0;0
16;País Vasco;20;Gipuzkoa;2011;1;SA;0;0;0
01;Andalucía;21;Huelva;2011;1;SA;0;0;0
02;Aragón;22;Huesca;2011;1;SA;0;0;0
01;Andalucía;23;Jaén;2011;1;SA;0;0;0
07;Castilla y León;24;León;2011;1;SA;0;0;0
09;Cataluña;25;Lleida;2011;1;SA;0;0;0
17;La Rioja;26;Rioja, La;2011;1;SA;0;0;0
12;Galicia;27;Lugo;2011;1;SA;0;0;0
13;Comunidad de Madrid;28;Madrid;2011;1;SA;25;17727007;17032615
01;Andalucía;29;Málaga;2011;1;SA;1;114000;114000
14;Región de Murcia;30;Murcia;2011;1;SA;1;60120;15030
15;C. Foral de Navarra;31;Navarra;2011;1;SA;0;0;0
12;Galicia;32;Ourense;2011;1;SA;0;0;0
03;Principado de Asturias;33;Asturias;2011;1;SA;0;0;0
07;Castilla y León;34;Palencia;2011;1;SA;0;0;0
05;Canarias;35;Palmas, Las;2011;1;SA;1;60000;60000
12;Galicia;36;Pontevedra;2011;1;SA;2;31598000;7955750
07;Castilla y León;37;Salamanca;2011;1;SA;0;0;0
05;Canarias;38;Santa Cruz de Tenerife;2011;1;SA;0;0;0
06;Cantabria;39;Cantabria;2011;1;SA;1;60200;60200
07;Castilla y León;40;Segovia;2011;1;SA;0;0;0
01;Andalucía;41;Sevilla;2011;1;SA;2;121000;76000
07;Castilla y León;42;Soria;2011;1;SA;0;0;0
09;Cataluña;43;Tarragona;2011;1;SA;0;0;0
02;Aragón;44;Teruel;2011;1;SA;1;60000;15000
08;Castilla-La Mancha;45;Toledo;2011;1;SA;1;60200;15050
10;Comunitat Valenciana;46;València / Valencia;2011;1;SA;4;240200;195050
07;Castilla y León;47;Valladolid;2011;1;SA;1;60000;15000
16;País Vasco;48;Bizkaia;2011;1;SA;2;1400000;1025000
07;Castilla y León;49;Zamora;2011;1;SA;0;0;0
02;Aragón;50;Zaragoza;2011;1;SA;1;60200;60200
18;Ceuta;51;Ceuta;2011;1;SA;0;0;0
19;Melilla;52;Melilla;2011;1;SA;0;0;0
16;País Vasco;01;Araba / Álava;2011;1;SL;34;235281;235281
08;Castilla-La Mancha;02;Albacete;2011;1;SL;52;752794;752794
10;Comunitat Valenciana;03;Alacant / Alicante;2011;1;SL;295;12498248;12498248
01;Andalucía;04;Almería;2011;1;SL;115;1941865;1941865
07;Castilla y León;05;Ávila;2011;1;SL;15;676502;676502
11;Extremadura;06;Badajoz;2011;1;SL;67;3714902;3714902
04;Illes Balears;07;Illes Balears;2011;1;SL;166;42433795;42433795
09;Cataluña;08;Barcelona;2011;1;SL;1030;25061061;25061061
07;Castilla y León;09;Burgos;2011;1;SL;33;570416;570416
11;Extremadura;10;Cáceres;2011;1;SL;29;442498;442498
01;Andalucía;11;Cádiz;2011;1;SL;105;8479704;8479704
10;Comunitat Valenciana;12;Castelló / Castellón;2011;1;SL;91;734337;734337
08;Castilla-La Mancha;13;Ciudad Real;2011;1;SL;58;2363912;2363912
01;Andalucía;14;Córdoba;2011;1;SL;91;1234149;1234149
12;Galicia;15;Coruña, A;2011;1;SL;129;7355577;7355577
