Año;País;Tipo de mercado;Servicio;Concepto;Operador;Tipo de Ingreso;Tipo de Paquete;Unidades;Ingresos (Millones €);Ingresos por Operador (Millones €);Empleados por Operador (Núm);Paquetes (Núm);Inversiones por Operador (Millones €);Gastos por Operador (Millones €)
1998;España;N/A;Datos generales;Inversiones en infraestr. de telec. y serv. audiov.;N/A;N/A;N/A;Millones de euros;;;;;4581,86;
1999;España;N/A;Datos generales;Inversiones en infraestr. de telec. y serv. audiov.;N/A;N/A;N/A;Millones de euros;;;;;6178,41;
2000;España;N/A;Datos generales;Gastos de explotación;DTS;N/A;N/A;Millones de euros;;;;;;16,26
2000;España;N/A;Datos generales;Gastos de explotación;Jazztel;N/A;N/A;Millones de euros;;;;;;27,57
2000;España;N/A;Datos generales;Gastos de explotación;Movistar;N/A;N/A;Millones de euros;;;;;;328,72
2000;España;N/A;Datos generales;Gastos de explotación;Ono;N/A;N/A;Millones de euros;;;;;;12,56
2000;España;N/A;Datos generales;Gastos de explotación;Orange;N/A;N/A;Millones de euros;;;;;;159,84
2000;España;N/A;Datos generales;Gastos de explotación;Resto;N/A;N/A;Millones de euros;;;;;;384,9
2000;España;N/A;Datos generales;Gastos de explotación;Vodafone;N/A;N/A;Millones de euros;;;;;;59,68
2000;España;N/A;Datos generales;Inversiones en infraestr. de telec. y serv. audiov.;N/A;N/A;N/A;Millones de euros;;;;;10186,81;
2000;España;Servicio mayorista;Datos generales;Ingresos;N/A;N/A;N/A;Millones de euros;4636;4636;;;;
2000;España;Servicio minorista;Datos generales;Ingresos;N/A;N/A;N/A;Millones de euros;20147;20147;;;;
2001;España;N/A;Datos generales;Gastos de explotación;DTS;N/A;N/A;Millones de euros;;;;;;18,31
2001;España;N/A;Datos generales;Gastos de explotación;Jazztel;N/A;N/A;Millones de euros;;;;;;7,92
2001;España;N/A;Datos generales;Gastos de explotación;Movistar;N/A;N/A;Millones de euros;;;;;;307,95
2001;España;N/A;Datos generales;Gastos de explotación;Ono;N/A;N/A;Millones de euros;;;;;;12,24
2001;España;N/A;Datos generales;Gastos de explotación;Orange;N/A;N/A;Millones de euros;;;;;;76,41
2001;España;N/A;Datos generales;Gastos de explotación;Resto;N/A;N/A;Millones de euros;;;;;;213,35
2001;España;N/A;Datos generales;Gastos de explotación;Vodafone;N/A;N/A;Millones de euros;;;;;;81,63
2001;España;N/A;Datos generales;Gastos de explotación;Yoigo;N/A;N/A;Millones de euros;;;;;;2,43
2001;España;N/A;Datos generales;Inversiones en infraestr. de telec. y serv. audiov.;N/A;N/A;N/A;Millones de euros;;;;;8190,52;
2001;España;Servicio mayorista;Datos generales;Ingresos;Movistar;N/A;N/A;Millones de euros;;1772,46;;;;
2001;España;Servicio mayorista;Datos generales;Ingresos;N/A;Interconexión fija;N/A;Millones de euros;252,46;;;;;
2001;España;Servicio mayorista;Datos generales;Ingresos;N/A;Interconexión móvil;N/A;Millones de euros;3211,53;;;;;
2001;España;Servicio mayorista;Datos generales;Ingresos;N/A;Transporte y difusión de la señal audiovisual;N/A;Millones de euros;249,16;;;;;
2001;España;Servicio mayorista;Datos generales;Ingresos;Orange;N/A;N/A;Millones de euros;;607,35;;;;
2001;España;Servicio mayorista;Datos generales;Ingresos;Resto;N/A;N/A;Millones de euros;;318,39;;;;
2001;España;Servicio mayorista;Datos generales;Ingresos;Vodafone;N/A;N/A;Millones de euros;;1014,95;;;;
2001;España;Servicio minorista;Datos generales;Ingresos;Movistar;N/A;N/A;Millones de euros;;13489,73;;;;
2001;España;Servicio minorista;Datos generales;Ingresos;N/A;Banda ancha fija;N/A;Millones de euros;465,55;;;;;
2001;España;Servicio minorista;Datos generales;Ingresos;N/A;Comunicaciones de Empresa;N/A;Millones de euros;2640,25;;;;;
2001;España;Servicio minorista;Datos generales;Ingresos;N/A;Servicios audiovisuales;N/A;Millones de euros;4324,97;;;;;
2001;España;Servicio minorista;Datos generales;Ingresos;N/A;Telefonía fija;N/A;Millones de euros;8286,27;;;;;
2001;España;Servicio minorista;Datos generales;Ingresos;N/A;Telefonía móvil;N/A;Millones de euros;6315,77;;;;;
2001;España;Servicio minorista;Datos generales;Ingresos;Orange;N/A;N/A;Millones de euros;;1188,71;;;;
2001;España;Servicio minorista;Datos generales;Ingresos;Resto;N/A;N/A;Millones de euros;;5643,6;;;;
2001;España;Servicio minorista;Datos generales;Ingresos;Vodafone;N/A;N/A;Millones de euros;;1710,77;;;;
2002;España;N/A;Datos generales;Gastos de explotación;DTS;N/A;N/A;Millones de euros;;;;;;7,54
2002;España;N/A;Datos generales;Gastos de explotación;Jazztel;N/A;N/A;Millones de euros;;;;;;6,76
2002;España;N/A;Datos generales;Gastos de explotación;Movistar;N/A;N/A;Millones de euros;;;;;;263,02
2002;España;N/A;Datos generales;Gastos de explotación;Ono;N/A;N/A;Millones de euros;;;;;;51,95
2002;España;N/A;Datos generales;Gastos de explotación;Orange;N/A;N/A;Millones de euros;;;;;;88,72
2002;España;N/A;Datos generales;Gastos de explotación;Resto;N/A;N/A;Millones de euros;;;;;;119,07
2002;España;N/A;Datos generales;Gastos de explotación;Vodafone;N/A;N/A;Millones de euros;;;;;;92,32
2002;España;N/A;Datos generales;Gastos de explotación;Yoigo;N/A;N/A;Millones de euros;;;;;;0,04
2002;España;N/A;Datos generales;Inversiones en infraestr. de telec. y serv. audiov.;N/A;N/A;N/A;Millones de euros;;;;;5556,25;
2002;España;N/A;Datos generales;Número de empleados;Movistar;N/A;N/A;Unidades;;;46473;;;
2002;España;N/A;Datos generales;Número de empleados;Ono;N/A;N/A;Unidades;;;5192;;;
2002;España;N/A;Datos generales;Número de empleados;Orange;N/A;N/A;Unidades;;;4377;;;
2002;España;N/A;Datos generales;Número de empleados;Resto;N/A;N/A;Unidades;;;22726;;;
2002;España;N/A;Datos generales;Número de empleados;RTVE;N/A;N/A;Unidades;;;9140;;;
2002;España;N/A;Datos generales;Número de empleados;Televisió de Catalunya;N/A;N/A;Unidades;;;1834;;;
2002;España;N/A;Datos generales;Número de empleados;Vodafone;N/A;N/A;Unidades;;;4266;;;
2002;España;Servicio mayorista;Datos generales;Ingresos;Movistar;N/A;N/A;Millones de euros;;2816,55;;;;
2002;España;Servicio mayorista;Datos generales;Ingresos;N/A;Alquiler de circuitos;N/A;Millones de euros;632,17;;;;;
2002;España;Servicio mayorista;Datos generales;Ingresos;N/A;Banda ancha fija mayorista;N/A;Millones de euros;127,57;;;;;
2002;España;Servicio mayorista;Datos generales;Ingresos;N/A;Interconexión fija;N/A;Millones de euros;571,95;;;;;
2002;España;Servicio mayorista;Datos generales;Ingresos;N/A;Interconexión móvil;N/A;Millones de euros;3702,7;;;;;
2002;España;Servicio mayorista;Datos generales;Ingresos;N/A;Transmisión de datos;N/A;Millones de euros;154,65;;;;;
